"","ï..fileNumber","fileName","dreamID","nCells","ground","rec","pred","pred_adj"
"28",42,"s19_c1_data",28,12,"((((1_0100000022:43,2_0000000022:43):50,(3_0000001022:42,4_0000000022:42):51):43,((5_0100000222:32,6_0000000222:32):57,(7_0000000222:33,8_0000000222:33):56):47):46,((9_1101001011:12,10_1111001011:12):42,(11_1111101011:9,12_1111001011:9):45):128);","(((5_0100000222:60,(8_0000000222:40,(6_0000000222:20,7_0000000222:20)2:20)2:20)1:20,(1_0100000022:60,(3_0000001022:40,(2_0000000022:20,4_0000000022:20)2:20)2:20)2:20)1:20,(11_1111101011:75,(9_1101001011:50,(10_1111001011:25,12_1111001011:25)2:25)2:25)2:25)Root;","((11_1111101011:0.6666666667,(9_1101001011:0.5,(10_1111001011:0,12_1111001011:0):0.5):0.1666666667):3.483333333,((5_0100000222:0.5,(8_0000000222:0,(6_0000000222:0,7_0000000222:0):0):0.5):0.9475,(3_0000001022:0.6666666667,(1_0100000022:0.5,(2_0000000022:0,4_0000000022:0):0.5):0.1666666667):0.7808333333):2.7025);","((9_1101001011:6.511972667,(11_1111101011:4.8607595,(10_1111001011:0,12_1111001011:0):4.8607595):1.651213167):48.55991212,((1_0100000022:7.23385894,5_0100000222:7.23385894):19.3366572,(3_0000001022:14.06183436,((2_0000000022:0,4_0000000022:0):7.23385894,(8_0000000222:0,(6_0000000222:0,7_0000000222:0):0):7.23385894):6.827975424):12.50868177):28.50136865);"
"29",43,"s19_c2_data",29,15,"(2_2120101101:202,((((4_2020102101:19,5_2020102101:19):40,(6_2120102101:21,7_2020102101:21):38):42,((8_2020102101:17,9_2020102101:17):37,(10_2020102101:9,11_2020102101:9):45):47):44,((13_2120101100:11,14_2100101000:11):86,((15_0100201001:8,16_0100201001:8):45,(17_0100201001:13,18_0100201001:13):40):44):48):56);","(((2_2120101101:42.85714286,13_2120101100:42.85714286)1:42.85714286,(6_2120102101:71.42857143,(11_2020102101:57.14285714,((7_2020102101:28.57142857,(4_2020102101:14.28571429,5_2020102101:14.28571429)2:14.28571429)1:14.28571429,(10_2020102101:28.57142857,(8_2020102101:14.28571429,9_2020102101:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(14_2100101000:80,(18_0100201001:60,(17_0100201001:40,(15_0100201001:20,16_0100201001:20)2:20)2:20)2:20)2:20)Root;","(((2_2120101101:0.5,13_2120101100:0.5):0.8225,(6_2120102101:0.5,(11_2020102101:0,(10_2020102101:0,(9_2020102101:0,(8_2020102101:0,(7_2020102101:0,(4_2020102101:0,5_2020102101:0):0):0):0):0):0):0.5):0.8225):2.7165,(14_2100101000:2.27,(18_0100201001:0,(17_0100201001:0,(15_0100201001:0,16_0100201001:0):0):0):2.27):1.769);","((11_2020102101:0,(10_2020102101:0,(9_2020102101:0,(8_2020102101:0,(7_2020102101:0,(4_2020102101:0,5_2020102101:0):0):0):0):0):0):51.4376912,((18_0100201001:0,(17_0100201001:0,(15_0100201001:0,16_0100201001:0):0):0):34.54375908,(14_2100101000:23.73970164,(6_2120102101:16.34632913,(2_2120101101:8,13_2120101100:8):8.34632913):7.393372512):10.80405744):16.89393212);"
"30",45,"s19_c4_data",30,14,"((((1_2111101000:36,2_2100101000:36):47,(3_1111101001:24,4_2102011000:24):59):49,((5_2100101000:25,6_2100101000:25):48,(7_2100101000:23,8_1101101001:23):50):59):47,((9_1101001000:25,10_1111101001:25):105,((13_2111101000:39,14_2100101000:39):42,(15_1111001001:35,16_1111001011:35):46):49):49);","((((15_1111001001:32.14285714,16_1111001011:32.14285714)1:32.14285714,(8_1101101001:42.85714286,(3_1111101001:21.42857143,10_1111101001:21.42857143)2:21.42857143)2:21.42857143)1:21.42857143,((14_2100101000:57.14285714,(7_2100101000:42.85714286,(6_2100101000:28.57142857,(2_2100101000:14.28571429,5_2100101000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(1_2111101000:35.71428571,13_2111101000:35.71428571)2:35.71428571)2:14.28571429)1:14.28571429,(4_2102011000:50,9_1101001000:50)2:50)Root;","(4_2102011000:2.466538462,(((1_2111101000:0,13_2111101000:0):1,(14_2100101000:0,(7_2100101000:0,(6_2100101000:0,(2_2100101000:0,5_2100101000:0):0):0):0):1):1.027857143,(9_1101001000:1.3,((8_1101101001:0.5,(3_1111101001:0,10_1111101001:0):0.5):0.4166666667,(15_1111001001:0.5,16_1111001011:0.5):0.4166666667):0.3833333333):0.7278571429):0.4386813187);","(((15_1111001001:2.909091,16_1111001011:2.909091):5.036787167,(8_1101101001:4.8917195,(3_1111101001:0,10_1111101001:0):4.8917195):3.054158667):14.47709767,(4_2102011000:19.14632971,(9_1101001000:14.70934893,((1_2111101000:0,13_2111101000:0):8.447275,(14_2100101000:0,(7_2100101000:0,(6_2100101000:0,(2_2100101000:0,5_2100101000:0):0):0):0):8.447275):6.262073928):4.43698078):3.276646132);"
"31",46,"s2_c1_data",31,34,"((((((1_1111011221:16,3_1111011201:16):46,6_1111011221:62):47,((7_1110111221:13,8_1110111221:13):45,(9_1110111121:11,10_1110111121:11):47):51):51,(11_1112111111:99,(12_1111111211:54,(13_1111111211:10,14_1111111211:10):44):45):61):39,(((15_1111111111:12,16_1111111111:12):85,(18_1112111121:7,19_1112111121:7):90):56,(((20_0111211001:7,21_0111211001:7):37,(22_1111111101:4,26_1110111021:4):40):49,((27_1110212021:8,29_1110212021:8):42,(30_2222210021:4,31_2222110000:4):46):43):60):46):11,(((32_1112111021:40,35_1102111200:39):49,(36_1100000000:2,39_1100100000:2):86):55,(((40_1110111221:2,41_1110111221:2):40,42_1110111221:43):48,((43_1110111221:3,44_1110111221:3):43,(45_1110111221:1,46_1100111221:1):45):44):53):67);","((((26_1110111021:51.42857143,(9_1110111121:25.71428571,10_1110111121:25.71428571)2:25.71428571)1:25.71428571,(46_1100111221:64.28571429,((43_1110111221:34.28571429,(41_1110111221:17.14285714,42_1110111221:17.14285714)2:17.14285714)1:17.14285714,((40_1110111221:25.71428571,(7_1110111221:12.85714286,8_1110111221:12.85714286)2:12.85714286)1:12.85714286,(44_1110111221:19.28571429,45_1110111221:19.28571429)2:19.28571429)2:12.85714286)2:12.85714286)2:12.85714286)1:12.85714286,(((27_1110212021:26.66666667,29_1110212021:26.66666667)1:26.66666667,(20_0111211001:26.66666667,21_0111211001:26.66666667)2:26.66666667)1:26.66666667,((32_1112111021:46.66666667,(18_1112111121:23.33333333,19_1112111121:23.33333333)2:23.33333333)1:23.33333333,((3_1111011201:40,(1_1111011221:20,6_1111011221:20)2:20)1:20,(35_1102111200:50,((14_1111111211:26.66666667,(12_1111111211:13.33333333,13_1111111211:13.33333333)2:13.33333333)1:13.33333333,(22_1111111101:30,(11_1112111111:20,(15_1111111111:10,16_1111111111:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,((36_1100000000:33.33333333,39_1100100000:33.33333333)1:33.33333333,(30_2222210021:33.33333333,31_2222110000:33.33333333)2:33.33333333)2:33.33333333)Root;","((30_2222210021:2.27,31_2222110000:2.27):2.94421875,((36_1100000000:0.5,39_1100100000:0.5):3.790333333,(((20_0111211001:0,21_0111211001:0):2.77,(27_1110212021:0,29_1110212021:0):2.77):0.3398076923,(35_1102111200:2.9992,((32_1112111021:0.5,(18_1112111121:0,19_1112111121:0):0.5):1.353333333,(((46_1100111221:0.5,(45_1110111221:0,(44_1110111221:0,(43_1110111221:0,(42_1110111221:0,(41_1110111221:0,(40_1110111221:0,(7_1110111221:0,8_1110111221:0):0):0):0):0):0):0):0.5):0.3572222222,(26_1110111021:0.5,(9_1110111121:0,10_1110111121:0):0.5):0.3572222222):0.8333611111,(((14_1111111211:0,(12_1111111211:0,13_1111111211:0):0):0.91875,(11_1112111111:0.8016666667,(22_1111111101:0.5,(15_1111111111:0,16_1111111111:0):0.5):0.3016666667):0.1170833333):0.6486309524,(3_1111011201:1.135,(1_1111011221:0,6_1111011221:0):1.135):0.4323809524):0.123202381):0.16275):1.145866667):0.1106076923):1.180525641):0.9238854167);","((30_2222210021:20.77680113,31_2222110000:20.77680113):50.61271257,((36_1100000000:4.8607595,39_1100100000:4.8607595):39.86096704,((27_1110212021:0,29_1110212021:0):29.42006941,(35_1102111200:26.55465729,((20_0111211001:0,21_0111211001:0):24.58454661,((11_1112111111:4.756786237,(32_1112111021:3.186722,(18_1112111121:0,19_1112111121:0):3.186722):1.570064237):8.297665693,((3_1111011201:6.60363657,(1_1111011221:0,6_1111011221:0):6.60363657):5.090930524,(((14_1111111211:0,(12_1111111211:0,13_1111111211:0):0):5.01683394,(22_1111111101:2.909091,(15_1111111111:0,16_1111111111:0):2.909091):2.10774294):5.414887558,((26_1110111021:3.186722,(9_1110111121:0,10_1110111121:0):3.186722):2.466179996,(46_1100111221:4.8917195,(45_1110111221:0,(44_1110111221:0,(43_1110111221:0,(42_1110111221:0,(41_1110111221:0,(40_1110111221:0,(7_1110111221:0,8_1110111221:0):0):0):0):0):0):0):4.8917195):0.7611824956):4.778819503):1.262845596):1.359884835):11.53009468):1.970110673):2.865412126):15.30165713):26.66778716);"
"32",50,"s2_c5_data",32,9,"((((1_2111211221:13,2_2111211221:13):46,4_1112001001:59):80,(5_0112011221:69,7_2112112221:68):71):52,((10_2111012221:34,11_2111011221:34):54,(12_2111212221:32,13_2211212221:32):56):103);","(((((1_2111211221:0.2951730353,2_2111211221:0.2951730353):0.1287465073,(12_2111212221:0.3562930647,13_2211212221:0.3562930647):0.06762647787):0.1124946174,(7_2112112221:0.501539262,(10_2111012221:0.3672390034,11_2111011221:0.3672390034):0.1343002586):0.03487489795):0.1506826501,5_0112011221:0.6870968101):0.203548211,4_1112001001:0.8906450211);","(4_1112001001:4.89125,(5_0112011221:2.852857143,((13_2211212221:1.058333333,(12_2111212221:0.635,(1_2111211221:0,2_2111211221:0):0.635):0.4233333333):0.5979166667,(7_2112112221:1.4525,(10_2111012221:0.635,11_2111011221:0.635):0.8175):0.20375):1.196607143):2.038392857);","(13_2211212221:47.35524705,(((12_2111212221:10.86132206,(7_2112112221:9.376314985,10_2111012221:9.376314985):1.485007073):8.580065659,(11_2111011221:11.03392407,(1_2111211221:0,2_2111211221:0):11.03392407):8.407463652):15.07589591,(4_1112001001:24.68558951,5_0112011221:24.68558951):9.831694115):12.83796342);"
"33",51,"s2_c6_data",33,26,"((4_1111211221:198,(((6_0112110211:5,7_0112110211:5):43,(8_0110111211:6,9_0110111211:6):42):47,(10_0111011221:45,11_0110011221:45):51):102):13,(((((17_0000111111:31,18_0000111111:31):44,(19_0000111111:31,20_0000111111:31):44):35,(21_0000111111:62,(22_0000111121:14,23_0000111121:14):48):48):38,((24_0000211121:13,25_0000211121:13):41,(26_0000111121:17,27_0100111121:17):37):94):38,((28_2111211111:26,29_1111211101:27):118,((30_1112211200:45,31_1112211221:45):54,((32_0112111221:6,33_0112110221:6):41,(34_2112111221:7,35_2112111201:7):40):51):46):42):24);","(((34_2112111221:40,35_2112111201:40)1:40,((28_2111211111:30,29_1111211101:30)1:30,(30_1112211200:40,(4_1111211221:20,31_1112211221:20)2:20)2:20)2:20)1:20,(((21_0000111111:57.14285714,(20_0000111111:42.85714286,(19_0000111111:28.57142857,(17_0000111111:14.28571429,18_0000111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((24_0000211121:28.57142857,25_0000211121:28.57142857)1:28.57142857,(27_0100111121:42.85714286,(26_0000111121:28.57142857,(22_0000111121:14.28571429,23_0000111121:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((32_0112111221:51.42857143,(33_0112110221:34.28571429,(6_0112110211:17.14285714,7_0112110211:17.14285714)2:17.14285714)2:17.14285714)1:17.14285714,((8_0110111211:22.85714286,9_0110111211:22.85714286)1:22.85714286,(10_0111011221:22.85714286,11_0110011221:22.85714286)2:22.85714286)2:22.85714286)2:17.14285714)2:14.28571429)Root;","(((24_0000211121:0,25_0000211121:0):1.043333333,((21_0000111111:0,(20_0000111111:0,(19_0000111111:0,(17_0000111111:0,18_0000111111:0):0):0):0):0.76,(27_0100111121:0.5,(26_0000111121:0,(22_0000111121:0,23_0000111121:0):0):0.5):0.26):0.2833333333):2.430121212,((((6_0112110211:0,7_0112110211:0):0.885,(32_0112111221:0.5,33_0112110221:0.5):0.385):1.0675,((8_0110111211:0,9_0110111211:0):1.385,(10_0111011221:0.5,11_0110011221:0.5):0.885):0.5675):0.8753571429,((34_2112111221:1.135,35_2112111201:1.135):1.3105,((28_2111211111:1.135,29_1111211101:1.135):1.080833333,(30_1112211200:1.9525,(4_1111211221:0.635,31_1112211221:0.635):1.3175):0.2633333333):0.2296666667):0.3823571429):0.6455974026);","(((24_0000211121:0,25_0000211121:0):8.482255546,((21_0000111111:0,(20_0000111111:0,(19_0000111111:0,(17_0000111111:0,18_0000111111:0):0):0):0):3.69454557,(26_0000111121:0,(22_0000111121:0,23_0000111121:0):0):3.69454557):4.787709976):36.50974379,(((34_2112111221:6.60363657,35_2112111201:6.60363657):13.52855258,(30_1112211200:18.91714432,((4_1111211221:4.515555485,31_1112211221:4.515555485):9.89408666,(28_2111211111:8.820363785,29_1111211101:8.820363785):5.58927836):4.50750217):1.21504483):5.818474762,((33_0112110221:3.69454557,(6_0112110211:0,7_0112110211:0):3.69454557):17.32289456,(27_0100111121:14.68631176,(32_0112111221:11.45987465,((8_0110111211:0,9_0110111211:0):10.33308282,(10_0111011221:3.5555555,11_0110011221:3.5555555):6.77752732):1.126791825):3.22643712):6.331128363):4.933223779):19.04133543);"
"34",52,"s2_c8_data",34,11,"(((1_2111111101:50,(2_1112211101:3,3_0111211101:3):46):55,((4_0111211221:1,5_0111211221:1):55,(6_0000100021:10,7_0000100021:10):46):48):46,((12_2022111221:10,13_2002111221:10):54,(14_0110111221:8,15_0120111221:8):56):86);","((1_2111111101:66.66666667,(2_1112211101:33.33333333,3_0111211101:33.33333333)2:33.33333333)1:33.33333333,(((4_0111211221:25,5_0111211221:25)1:25,(14_0110111221:25,15_0120111221:25)2:25)1:25,((6_0000100021:25,7_0000100021:25)1:25,(12_2022111221:25,13_2002111221:25)2:25)2:25)2:25)Root;","((6_0000100021:0,7_0000100021:0):4.592777778,((12_2022111221:1.135,13_2002111221:1.135):2.6425,(((4_0111211221:0,5_0111211221:0):1.4525,(14_0110111221:0.635,15_0120111221:0.635):0.8175):1.800416667,(1_2111111101:1.8375,(2_1112211101:1.135,3_0111211101:1.135):0.7025):1.415416667):0.5245833333):0.8152777778);","((((4_0111211221:0,5_0111211221:0):12.83496195,(14_0110111221:6.212483765,15_0120111221:6.212483765):6.622478183):10.81193229,(1_2111111101:16.66948784,(2_1112211101:9.170100985,3_0111211101:9.170100985):7.499386857):6.977406398):30.60267909,((6_0000100021:0,7_0000100021:0):47.33795734,(12_2022111221:11.10420326,13_2002111221:11.10420326):36.23375408):6.911615986);"
"35",53,"s2_c9_data",35,13,"(((8_0112210201:50,(9_0112211201:13,10_0112211201:13):37):39,((11_0102211221:6,12_0112211201:6):44,13_0112211201:50):39):40,((15_1000111221:49,(17_1000111221:10,18_1000111221:10):39):39,((19_1112111221:12,20_1112111221:12):37,(21_1112111221:14,22_1112111221:14):35):39):41);","(((22_1112111221:64.28571429,(21_1112111221:42.85714286,(19_1112111221:21.42857143,20_1112111221:21.42857143)2:21.42857143)2:21.42857143)1:21.42857143,(11_0102211221:71.42857143,(8_0112210201:57.14285714,(13_0112211201:42.85714286,(12_0112211201:28.57142857,(9_0112211201:14.28571429,10_0112211201:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(18_1000111221:66.66666667,(15_1000111221:33.33333333,17_1000111221:33.33333333)2:33.33333333)2:33.33333333)Root;","((18_1000111221:0,(15_1000111221:0,17_1000111221:0):0):3.3835,((8_0112210201:0.5,(13_0112211201:0,(12_0112211201:0,(9_0112211201:0,10_0112211201:0):0):0):0.5):1.743,(11_0102211221:1.635,(22_1112111221:0,(21_1112111221:0,(19_1112111221:0,20_1112111221:0):0):0):1.635):0.608):1.1405);","((18_1000111221:0,(15_1000111221:0,17_1000111221:0):0):44.57758826,((22_1112111221:0,(21_1112111221:0,(19_1112111221:0,20_1112111221:0):0):0):18.76628029,(11_0102211221:13.43965987,(8_0112210201:9.721519,(13_0112211201:0,(12_0112211201:0,(9_0112211201:0,10_0112211201:0):0):0):9.721519):3.71814087):5.32662042):25.81130797);"
"36",54,"s20_c1_data",36,9,"((((1_1110002211:5,2_1110001211:5):35,(3_1110001211:5,4_2102101000:5):35):37,7_1111001201:78):32,((8_1110201201:25,9_1110201201:25):42,(10_1110001201:30,11_2100101001:30):37):43);","((((1_1110002211:0.3551133538,(2_1110001211:0.2991828152,3_1110001211:0.2991828152):0.05593053859):0.109006724,(7_1111001201:0.359024485,10_1110001201:0.359024485):0.1050955928):0.04967164266,(8_1110201201:0.2929712708,9_1110201201:0.2929712708):0.2208204497):0.2876148314,(4_2102101000:0.4688740321,11_2100101001:0.4688740321):0.3325325198);","((4_2102101000:1.635,11_2100101001:1.635):2.296071429,((8_1110201201:0,9_1110201201:0):1.662,(7_1111001201:1.03375,(1_1110002211:0.8016666667,(10_1110001201:0.5,(2_1110001211:0,3_1110001211:0):0.5):0.3016666667):0.2320833333):0.62825):2.269071429);","((4_2102101000:16.07111099,11_2100101001:16.07111099):18.2475427,(1_1110002211:18.5562904,((8_1110201201:0,9_1110201201:0):13.37735844,(7_1111001201:5.4949495,(10_1110001201:2.909091,(2_1110001211:0,3_1110001211:0):2.909091):2.5858585):7.88240894):5.178931962):15.76236328);"
"37",55,"s20_c2_data",37,19,"(((1_1111001011:108,((3_1111001011:3,4_1111001011:3):52,5_1111001011:56):52):46,(((6_1111101011:8,7_1111011011:8):51,(8_1111101011:6,9_1111001011:6):53):48,(11_1111001011:59,(12_1111001011:14,13_1111001011:14):45):48):46):42,(((14_1112011011:35,15_1111101011:35):49,(16_1111001011:38,17_1111001011:38):46):56,((18_1111001011:36,19_1111101011:36):52,(20_2101101001:40,21_1111001011:40):48):52):56);","(((19_1111101011:66.66666667,(15_1111101011:44.44444444,(6_1111101011:22.22222222,8_1111101011:22.22222222)2:22.22222222)2:22.22222222)1:22.22222222,(((18_1111001011:33.33333333,21_1111001011:33.33333333)1:33.33333333,((16_1111001011:27.77777778,17_1111001011:27.77777778)1:27.77777778,((12_1111001011:22.22222222,13_1111001011:22.22222222)1:22.22222222,((9_1111001011:16.66666667,11_1111001011:16.66666667)1:16.66666667,((1_1111001011:11.11111111,3_1111001011:11.11111111)1:11.11111111,(4_1111001011:11.11111111,5_1111001011:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,(7_1111011011:38.88888889,14_1112011011:38.88888889)2:38.88888889)2:11.11111111)1:11.11111111,20_2101101001:100)Root;","(20_2101101001:2.114722222,(14_1112011011:1.223235294,(7_1111011011:0.625,((21_1111001011:0,(18_1111001011:0,(17_1111001011:0,(16_1111001011:0,(13_1111001011:0,(12_1111001011:0,(11_1111001011:0,(9_1111001011:0,(5_1111001011:0,(4_1111001011:0,(1_1111001011:0,3_1111001011:0):0):0):0):0):0):0):0):0):0):0):0.5,(19_1111101011:0,(15_1111101011:0,(6_1111101011:0,8_1111101011:0):0):0):0.5):0.125):0.5982352941):0.8914869281);","(20_2101101001:18.43171026,((7_1111011011:4.515555485,14_1112011011:4.515555485):5.150960633,((21_1111001011:0,(18_1111001011:0,(17_1111001011:0,(16_1111001011:0,(13_1111001011:0,(12_1111001011:0,(11_1111001011:0,(9_1111001011:0,(5_1111001011:0,(4_1111001011:0,(1_1111001011:0,3_1111001011:0):0):0):0):0):0):0):0):0):0):0):4.8607595,(19_1111101011:0,(15_1111101011:0,(6_1111101011:0,8_1111101011:0):0):0):4.8607595):4.805756618):8.765194139);"
"38",56,"s20_c3_data",38,8,"(((1_2100101000:14,2_0100001000:14):69,(3_2102111000:22,4_2100101020:22):61):52,((5_2112111201:31,6_1112011201:31):54,(7_2122111221:33,8_2112111221:33):52):50);","((((1_2100101000:0.3933871743,4_2100101020:0.3933871743):0.1419196932,2_0100001000:0.5353068675):0.06554648529,3_2102111000:0.6008533527):0.4097820564,((5_2112111201:0.4396946618,6_1112011201:0.4396946618):0.1949636127,(7_2122111221:0.3754709967,8_2112111221:0.3754709967):0.2591872778):0.3759771346);","(((7_2122111221:0.635,8_2112111221:0.635):1.385,(5_2112111201:1.135,6_1112011201:1.135):0.885):2.618125,(3_2102111000:2.558333333,(2_0100001000:2.2025,(1_2100101000:1.135,4_2100101020:1.135):1.0675):0.3558333333):2.079791667);","((6_1112011201:17.24528459,(5_2112111201:9.709878452,(7_2122111221:6.212483765,8_2112111221:6.212483765):3.497394687):7.535406134):23.63687618,(2_0100001000:22.38267647,(3_2102111000:17.56647777,(1_2100101000:6.60363657,4_2100101020:6.60363657):10.9628412):4.8161987):18.49948429);"
"39",57,"s20_c4_data",39,10,"(((1_1112211001:36,2_1112211001:36):66,(3_0122211101:22,4_0122211101:22):80):52,(((5_2100101000:16,6_2100101000:16):48,(7_2100101000:18,8_2100101000:18):46):44,(9_2100101000:11,10_2100101000:11):97):45);","(((3_0122211101:33.33333333,4_0122211101:33.33333333)1:33.33333333,(1_1112211001:33.33333333,2_1112211001:33.33333333)2:33.33333333)1:33.33333333,(10_2100101000:83.33333333,(9_2100101000:66.66666667,(8_2100101000:50,(7_2100101000:33.33333333,(5_2100101000:16.66666667,6_2100101000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;","((10_2100101000:0,(9_2100101000:0,(8_2100101000:0,(7_2100101000:0,(5_2100101000:0,6_2100101000:0):0):0):0):0):4.7225,((1_1112211001:0,2_1112211001:0):1.635,(3_0122211101:0,4_0122211101:0):1.635):3.0875);","((10_2100101000:0,(9_2100101000:0,(8_2100101000:0,(7_2100101000:0,(5_2100101000:0,6_2100101000:0):0):0):0):0):46.26769197,((1_1112211001:0,2_1112211001:0):14.05375126,(3_0122211101:0,4_0122211101:0):14.05375126):32.2139407);"
"40",58,"s20_c5_data",40,14,"((1_2000100000:187,(((2_2202112221:38,3_2202112221:38):50,4_2202112221:88):54,(5_0122211221:85,6_2122111221:85):58):44):25,((7_0102212101:142,((8_2112111221:34,9_2102111200:34):51,10_2212111221:86):56):42,((11_0122011221:24,12_0112011221:24):60,(13_0110001201:23,14_0110001201:23):61):99):28);","(((13_0110001201:37.5,14_0110001201:37.5)1:37.5,(1_2000100000:50,(7_0102212101:25,9_2102111200:25)2:25)2:25)1:25,((5_0122211221:53.33333333,(11_0122011221:26.66666667,12_0112011221:26.66666667)2:26.66666667)1:26.66666667,((4_2202112221:40,(2_2202112221:20,3_2202112221:20)2:20)1:20,(10_2212111221:40,(6_2122111221:20,8_2112111221:20)2:20)2:20)2:20)2:20)Root;","((7_0102212101:4.3615,((5_0122211221:1.4525,(11_0122011221:0.635,12_0112011221:0.635):0.8175):1.774880952,(9_2102111200:2.731666667,((4_2202112221:0,(2_2202112221:0,3_2202112221:0):0):1.77,(10_2212111221:0.9525,(6_2122111221:0.635,8_2112111221:0.635):0.3175):0.8175):0.9616666667):0.4957142857):1.134119048):1.029863636,(1_2000100000:4.77,(13_0110001201:0,14_0110001201:0):4.77):0.6213636364);","(1_2000100000:85.90494078,((10_2212111221:17.23804863,(4_2202112221:0,(2_2202112221:0,3_2202112221:0):0):17.23804863):41.64469319,(7_0102212101:43.49092037,((13_0110001201:0,14_0110001201:0):34.574828,(9_2102111200:32.74127401,((6_2122111221:6.212483765,8_2112111221:6.212483765):12.75780426,(5_0122211221:14.14016595,(11_0122011221:6.212483765,12_0112011221:6.212483765):7.927682183):4.830122075):13.77098599):1.833553983):8.916092377):15.39182145):27.02219895);"
"41",59,"s20_c6_data",41,12,"((((1_0222010100:14,2_0122011100:14):44,(3_0112211200:5,4_0112011200:5):53):107,((8_2101101001:49,9_2111101011:49):61,(10_1111101011:58,11_1111201001:58):52):56):45,((12_1222010102:39,13_1202010002:39):127,(16_0112011200:124,19_2112111221:124):42):44);","(((12_1222010102:40,13_1202010002:40)1:40,((1_0222010100:30,2_0122011100:30)1:30,(3_0112211200:40,(4_0112011200:20,16_0112011200:20)2:20)2:20)2:20)1:20,(19_2112111221:80,(11_1111201001:60,(8_2101101001:40,(9_2111101011:20,10_1111101011:20)2:20)2:20)2:20)2:20)Root;","((19_2112111221:3.75625,(11_1111201001:1.558333333,(8_2101101001:1.3175,(9_2111101011:0.635,10_1111101011:0.635):0.6825):0.2408333333):2.197916667):1.014321429,((12_1222010102:1.635,13_1202010002:1.635):2.3335,((1_0222010100:1.135,2_0122011100:1.135):1.080833333,(3_0112211200:1.135,(4_0112011200:0,16_0112011200:0):1.135):1.080833333):1.752666667):0.8020714286);","((1_0222010100:29.96000813,(12_1222010102:14.29092526,13_1202010002:14.29092526):15.66908287):41.50004281,((3_0112211200:14.45379763,(2_0122011100:10.2596207,(4_0112011200:0,16_0112011200:0):10.2596207):4.194176928):26.31681711,(19_2112111221:28.8139114,(11_1111201001:13.68398026,(8_2101101001:10.75644689,(9_2111101011:5.911272785,10_1111101011:5.911272785):4.845174107):2.927533363):15.12993115):11.95670334):30.6894362);"
"42",60,"s20_c7_data",42,3,"(1_2100101021:212,(4_0110201221:38,5_2100101000:38):173);","((1_2100101021:0.4645307136,5_2100101000:0.4645307136):0.3268914284,4_0110201221:0.791422142);","(4_0110201221:4.2225,(1_2100101021:1.635,5_2100101000:1.635):2.5875);","(4_0110201221:36.16637958,(1_2100101021:14.60363657,5_2100101000:14.60363657):21.56274301);"
"43",61,"s21_c1_data",43,13,"((((1_0000000021:34,2_0000000021:34):60,(3_0000000021:43,4_0000000021:43):51):58,(5_2100101000:84,(7_2100101001:31,8_2100001001:31):53):68):43,(((9_2100101000:38,10_2100101000:38):45,(11_0100001000:31,12_2100101000:31):52):71,(13_2100101000:14,14_0100001000:14):140):41);","((4_0000000021:75,(3_0000000021:50,(1_0000000021:25,2_0000000021:25)2:25)2:25)1:25,((11_0100001000:42.85714286,14_0100001000:42.85714286)1:42.85714286,((13_2100101000:57.14285714,(12_2100101000:42.85714286,(10_2100101000:28.57142857,(5_2100101000:14.28571429,9_2100101000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(7_2100101001:35.71428571,8_2100001001:35.71428571)2:35.71428571)2:14.28571429)2:14.28571429)Root;","((4_0000000021:0,(3_0000000021:0,(1_0000000021:0,2_0000000021:0):0):0):3.74,((11_0100001000:0,14_0100001000:0):1.706428571,(8_2100001001:0.9166666667,(7_2100101001:0.5,(13_2100101000:0,(12_2100101000:0,(10_2100101000:0,(5_2100101000:0,9_2100101000:0):0):0):0):0.5):0.4166666667):0.7897619048):2.033571429);","((4_0000000021:0,(3_0000000021:0,(1_0000000021:0,2_0000000021:0):0):0):55.33907629,((11_0100001000:0,14_0100001000:0):17.01789786,((13_2100101000:0,(12_2100101000:0,(10_2100101000:0,(5_2100101000:0,9_2100101000:0):0):0):0):10.43037975,(7_2100101001:4.8607595,8_2100001001:4.8607595):5.56962025):6.587518106):38.32117844);"
