fileNumber,fileName,dreamID,nCells,ground,rec
7,s10_c5_data,4,10,"(((1_2102111221:8,2_2102111221:8):42,(3_2102010221:10,4_2102010221:10):40):102,(((9_1112011121:3,10_1112011121:3):44,(11_1112010021:2,12_1112011021:2):45):48,(13_0210012201:42,14_0210012201:42):54):57);","((((9_1112011121:25,10_1112011121:25)1:25,(12_1112011021:25,11_1112010021:25)2:25)1:25,((3_2102010221:25,4_2102010221:25)1:25,(1_2102111221:25,2_2102111221:25)2:25)2:25)1:25,(13_0210012201:50,14_0210012201:50)2:50)Root;"
9,s12_c1_data,5,8,"(((1_0101001001:32,2_2101101000:32):54,(3_2100101000:33,4_2100101000:33):53):49,((5_1101201221:44,6_2101001000:44):42,(7_1111001001:46,8_1111001021:46):40):49);","(((1_0101001001:0.4149613089,7_1111001001:0.4149613089):0.1641316947,((2_2101101000:0.3444289204,6_2101001000:0.3444289204):0.05052288122,(3_2100101000:0.2900967091,4_2100101000:0.2900967091):0.1048550926):0.184141202):0.1428684831,(5_1101201221:0.5853567862,8_1111001021:0.5853567862):0.1366047005);"
11,s12_c3_data,6,4,"((1_2100111000:31,2_2100101000:31):48,(3_2100101000:30,4_2100101000:30):49);","(1_2100111000:0.342772537,(2_2100101000:0.2900967091,(3_2100101000:0.2900967091,4_2100101000:0.2900967091):0):0.05267582796);"
13,s13_c1_data,7,39,"(((((1_2110101001:41,2_2112111221:41):47,(3_2100101000:38,4_2102110021:38):50):49,((5_2112111221:28,6_2112111221:28):56,(7_1111001211:30,8_1111001211:30):54):53):48,(((9_2112111211:24,10_0112210011:24):50,12_2112101000:74):64,((13_2000100021:35,14_2000100021:35):48,(15_2100101021:30,16_2100101021:30):53):55):47):26,(((((17_2111101021:24,18_2111101021:24):34,(19_2111101011:24,20_2111101011:24):34):38,((21_2111101021:27,22_2110101021:27):32,(23_2111101001:24,24_2112111001:24):35):37):49,(((25_1101001020:23,26_1111001000:23):33,(27_2102111000:19,28_1112011011:19):37):41,((29_1111101021:18,30_2100101021:18):33,(31_1112211011:16,32_1112211011:16):35):46):48):43,(((33_1122111121:4,34_1112011201:4):40,(35_1111201221:10,36_2101101000:10):34):94,((43_2112111001:17,44_2112111001:17):34,(45_2112111001:18,46_2112111000:18):33):87):50):22);","(((((29_1111101021:42.85714286,(21_2111101021:28.57142857,(17_2111101021:14.28571429,18_2111101021:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((19_2111101011:19.04761905,20_2111101011:19.04761905)1:19.04761905,(1_2110101001:19.04761905,23_2111101001:19.04761905)2:19.04761905)2:19.04761905)1:14.28571429,((22_2110101021:42.85714286,(30_2100101021:28.57142857,(15_2100101021:14.28571429,16_2100101021:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(4_2102110021:38.0952381,(13_2000100021:19.04761905,14_2000100021:19.04761905)2:19.04761905)2:19.04761905)2:14.28571429)1:14.28571429,((45_2112111001:53.57142857,(44_2112111001:35.71428571,(24_2112111001:17.85714286,43_2112111001:17.85714286)2:17.85714286)2:17.85714286)1:17.85714286,((26_1111001000:28.57142857,25_1101001020:28.57142857)1:28.57142857,((3_2100101000:21.42857143,36_2101101000:21.42857143)1:21.42857143,(27_2102111000:28.57142857,(12_2112101000:14.28571429,46_2112111000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((33_1122111121:66.66666667,(9_2112111211:50,(6_2112111221:33.33333333,(2_2112111221:16.66666667,5_2112111221:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((10_0112210011:44.44444444,(31_1112211011:22.22222222,32_1112211011:22.22222222)2:22.22222222)1:22.22222222,((34_1112011201:25,28_1112011011:25)1:25,(35_1111201221:33.33333333,(7_1111001211:16.66666667,8_1111001211:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
14,s13_c2_data,8,18,"((((1_1110001221:39,2_1110001221:39):87,((3_2110101221:33,4_2120101221:33):44,(5_2112111221:34,6_2112111221:34):43):49):44,(((7_2111101201:37,8_2111101201:37):44,(9_2112111201:38,10_2112111201:38):43):44,((11_2112111221:35,12_2112111221:35):45,(13_1112111221:35,14_2112111221:35):45):45):45):41,((15_2110101021:19,16_2110101021:19):151,(17_2100101000:130,24_2100101000:130):40):41);","((((1_1110001221:29.16666667,2_1110001221:29.16666667)1:29.16666667,(3_2110101221:29.16666667,4_2120101221:29.16666667)2:29.16666667)1:29.16666667,((13_1112111221:62.5,(14_2112111221:50,(12_2112111221:37.5,(11_2112111221:25,(5_2112111221:12.5,6_2112111221:12.5)2:12.5)2:12.5)2:12.5)2:12.5)1:12.5,((9_2112111201:25,10_2112111201:25)1:25,(7_2111101201:25,8_2111101201:25)2:25)2:25)2:12.5)1:12.5,((17_2100101000:33.33333333,24_2100101000:33.33333333)1:33.33333333,(15_2110101021:33.33333333,16_2110101021:33.33333333)2:33.33333333)2:33.33333333)Root;"
17,s14_c2_data,9,15,"(((2_1100001000:58,(3_1100010000:14,4_1100001000:14):44):48,((5_1102111000:18,6_2100111000:18):44,(7_1100101000:20,8_1100001000:20):42):44):48,(((9_2120100100:9,10_2220102101:9):39,(11_2220102200:10,12_2100101000:10):38):50,((13_2020100101:6,14_2020100101:6):48,(15_2020100101:17,16_2020100101:17):37):44):56);","(((3_1100010000:60,(8_1100001000:40,(2_1100001000:20,4_1100001000:20)2:20)2:20)1:20,(5_1102111000:60,(6_2100111000:40,(7_1100101000:20,12_2100101000:20)2:20)2:20)2:20)1:20,((10_2220102101:41.66666667,11_2220102200:41.66666667)1:41.66666667,(9_2120100100:66.66666667,(16_2020100101:50,(15_2020100101:33.33333333,(13_2020100101:16.66666667,14_2020100101:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
18,s14_c3_data,10,9,"(((1_2120101121:18,2_2120101121:18):91,((5_2110101210:22,6_2100101210:22):38,(7_2100101200:17,8_2100101200:17):43):49):56,((9_2100101000:9,10_2102111000:9):102,12_2100101000:112):54);","((1_2120101121:0.2939271129,2_2120101121:0.2939271129):0.5094557162,(((5_2110101210:0.3459858968,6_2100101210:0.3459858968):0.1534067817,((7_2100101200:0.2901095859,8_2100101200:0.2901095859):0.1032820353,(9_2100101000:0.2900967091,12_2100101000:0.2900967091):0.1032949122):0.1060010573):0.1743106079,10_2102111000:0.6737032864):0.1296795427);"
19,s14_c4_data,11,7,"((1_2110101021:84,(2_2112111021:31,3_2112111021:31):53):47,((4_2112111000:23,5_2102111000:23):63,(6_2102111000:30,7_2102111000:30):56):45);","(1_2110101021:0.7351593147,((2_2112111021:0.2956828968,3_2112111021:0.2956828968):0.2726043572,(4_2112111000:0.3544755352,(5_2102111000:0.2914019896,(6_2102111000:0.2914019896,7_2102111000:0.2914019896):0):0.06307354556):0.2138117188):0.1668720607);"
20,s14_c5_data,12,25,"((((1_2100101000:17,2_2100101000:17):41,(3_2100101000:15,4_2101101000:15):43):122,((((5_2100121000:18,6_2100121000:18):34,(7_2100121000:15,8_2000120000:15):37):46,((9_2122211121:8,10_2122111121:8):44,(11_2122111021:12,12_2112112021:12):40):46):44,((13_0112211200:59,(14_0112011200:14,15_0112011200:14):45):48,((16_2100111000:10,17_2100101000:10):52,19_2100101000:62):45):35):38):30,(((20_0112211200:18,21_0111011000:18):48,(22_2121101100:15,23_2121101100:15):51):112,((24_2110101000:15,25_2110101000:15):52,26_2210100001:67):111):33);","(((21_0111011000:68.75,((13_0112211200:22.91666667,20_0112211200:22.91666667)1:22.91666667,(14_0112011200:22.91666667,15_0112011200:22.91666667)2:22.91666667)2:22.91666667)1:22.91666667,((8_2000120000:62.5,(7_2100121000:41.66666667,(5_2100121000:20.83333333,6_2100121000:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((22_2121101100:37.5,23_2121101100:37.5)1:37.5,(26_2210100001:66.66666667,((24_2110101000:29.16666667,25_2110101000:29.16666667)1:29.16666667,(4_2101101000:50,(16_2100111000:41.66666667,(19_2100101000:33.33333333,(17_2100101000:25,(3_2100101000:16.66666667,(1_2100101000:8.333333333,2_2100101000:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)2:8.333333333)1:8.333333333,(12_2112112021:75,(11_2122111021:50,(9_2122211121:25,10_2122111121:25)2:25)2:25)2:25)Root;"
21,s14_c6_data,13,11,"((((1_2100101100:4,2_1101021101:4):39,3_2121121101:44):55,(4_0001200201:37,(5_1110001201:1,6_1110001201:1):35):62):56,(((7_2102211221:8,8_2112111221:8):36,(9_2102111221:12,10_2102111221:12):32):50,14_2100101000:94):60);","(((4_0001200201:50,(5_1110001201:25,6_1110001201:25)2:25)1:25,((1_2100101100:25,14_2100101000:25)1:25,(2_1101021101:25,3_2121121101:25)2:25)2:25)1:25,(8_2112111221:75,(7_2102211221:50,(9_2102111221:25,10_2102111221:25)2:25)2:25)2:25)Root;"
23,s15_c2_data,14,19,"((((1_1111001011:41,2_1111101001:41):65,(3_2111101221:45,4_2112111201:45):61):60,(((5_1101001221:4,6_1111001001:4):51,(7_2111101221:2,8_2111101201:2):53):54,((9_2222112101:8,10_2222112101:8):52,(11_2212110000:6,12_2202110000:6):54):49):56):41,((13_2110101001:79,(14_0110201001:16,15_0110201001:16):62):78,((16_2100101000:28,17_1111001001:28):59,(18_2112111000:27,19_2100101000:27):60):69):51);","((((9_2222112101:31.25,10_2222112101:31.25)1:31.25,(18_2112111000:41.66666667,(11_2212110000:20.83333333,12_2202110000:20.83333333)2:20.83333333)2:20.83333333)1:20.83333333,((2_1111101001:50,(1_1111001011:33.33333333,(6_1111001001:16.66666667,17_1111001001:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((14_0110201001:25,15_0110201001:25)1:25,(13_2110101001:33.33333333,(16_2100101000:16.66666667,19_2100101000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((4_2112111201:37.5,8_2111101201:37.5)1:37.5,(5_1101001221:50,(3_2111101221:25,7_2111101221:25)2:25)2:25)2:25)Root;"
24,s15_c3_data,15,5,"(((1_2102111000:49,2_1102211000:49):45,(3_1122211100:46,4_1102111200:46):48):46,8_1122211101:140);","(((1_2102111000:0.4008644524,2_1102211000:0.4008644524):0.05830767792,4_1102111200:0.4591721303):0.1808585462,(3_1122211100:0.3476358292,8_1122211101:0.3476358292):0.2923948473);"
26,s15_c5_data,16,10,"((3_0102011000:22,4_2102101000:22):121,(((5_2100111200:7,6_2102111201:7):40,(7_2102111201:13,8_2102111201:13):34):47,((9_2112111201:13,10_2112111201:13):34,(11_2112111001:13,12_2112111001:13):34):47):48);","((3_0102011000:50,4_2102101000:50)1:50,((11_2112111001:41.66666667,12_2112111001:41.66666667)1:41.66666667,(5_2100111200:66.66666667,((8_2102111201:33.33333333,(6_2102111201:16.66666667,7_2102111201:16.66666667)2:16.66666667)1:16.66666667,(9_2112111201:25,10_2112111201:25)2:25)2:16.66666667)2:16.66666667)2:16.66666667)Root;"
27,s15_c6_data,17,12,"((((4_0201000021:16,5_0201000021:16):42,(6_0201000021:13,7_0201000021:13):45):44,(8_0100001012:53,9_0100001012:53):50):60,(((10_0102111000:6,11_0121201121:6):46,(12_0121201121:13,13_0121201121:13):39):53,(14_0100001000:13,15_0100001000:13):92):57);","(((7_0201000021:60,(6_0201000021:40,(4_0201000021:20,5_0201000021:20)2:20)2:20)1:20,(13_0121201121:53.33333333,(11_0121201121:26.66666667,12_0121201121:26.66666667)2:26.66666667)2:26.66666667)1:20,((8_0100001012:37.5,9_0100001012:37.5)1:37.5,(10_0102111000:50,(14_0100001000:25,15_0100001000:25)2:25)2:25)2:25)Root;"
29,s15_c8_data,18,20,"(((((1_2122111121:0,2_2122111121:0):49,(3_2102111201:9,4_2122111121:9):40):44,((5_2112111201:0,6_2112111201:0):43,(7_2112111201:2,8_2112111201:2):41):50):54,((9_2112211221:49,(10_2112111221:0,11_2112111221:0):48):46,(12_2112111201:44,13_2112111201:44):51):53):50,(((14_1110001221:7,15_1110001221:7):40,(16_1110001201:7,17_1100001001:7):40):49,((18_1112111221:3,19_2102111000:3):44,20_1112011221:48):49):101);","(((19_2102111000:77.77777778,(3_2102111201:66.66666667,(13_2112111201:55.55555556,(12_2112111201:44.44444444,(8_2112111201:33.33333333,(7_2112111201:22.22222222,(5_2112111201:11.11111111,6_2112111201:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)2:11.11111111)1:11.11111111,((4_2122111121:47.40740741,(1_2122111121:23.7037037,2_2122111121:23.7037037)2:23.7037037)1:23.7037037,((18_1112111221:26.66666667,20_1112011221:26.66666667)1:26.66666667,(9_2112211221:35.55555556,(10_2112111221:17.77777778,11_2112111221:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)2:17.77777778)1:11.11111111,(17_1100001001:75,(16_1110001201:50,(14_1110001221:25,15_1110001221:25)2:25)2:25)2:25)Root;"
30,s16_c1_data,19,21,"((1_2100101000:164,(((6_1111101020:9,7_1111001021:9):52,(8_1101001000:10,9_2101111000:10):51):48,((10_1112111002:0,11_2100001000:0):51,(12_1112011001:2,13_2102111000:2):49):58):54):46,((((14_1212011021:16,15_1211101021:16):52,16_2100101000:69):52,((17_0112211021:13,18_0112011021:13):54,(19_2100101221:20,20_1100201221:20):47):53):48,(21_1111001011:110,((23_1111001000:7,24_1111101011:7):43,(25_1111001011:6,26_1111001011:6):44):59):59):41);","((((8_1101001000:35,23_1111001000:35)1:35,((9_2101111000:26.25,13_2102111000:26.25)1:26.25,(11_2100001000:35,(1_2100101000:17.5,16_2100101000:17.5)2:17.5)2:17.5)2:17.5)1:17.5,(((24_1111101011:50,(7_1111001021:37.5,(26_1111001011:25,(21_1111001011:12.5,25_1111001011:12.5)2:12.5)2:12.5)2:12.5)1:12.5,(6_1111101020:31.25,15_1211101021:31.25)2:31.25)1:12.5,((10_1112111002:28.125,12_1112011001:28.125)1:28.125,(14_1212011021:37.5,(17_0112211021:18.75,18_0112011021:18.75)2:18.75)2:18.75)2:18.75)2:12.5)1:12.5,(19_2100101221:50,20_1100201221:50)2:50)Root;"
31,s16_c2_data,20,6,"(1_2100101000:148,((5_2102111021:45,6_2112111021:45):50,(7_2212110021:45,(8_2212110021:0,9_2212110021:0):44):50):53);","(1_2100101000:0.7608206381,((5_2102111021:0.3697738713,6_2112111021:0.3697738713):0.1193077213,(7_2212110021:0.2859521179,(8_2212110021:0.2859521179,9_2212110021:0.2859521179):0):0.2031294747):0.2717390455);"
32,s16_c3_data,21,7,"(((1_2100101000:18,2_2100101000:18):124,(3_1101001100:38,4_2100101000:38):104):60,(10_0102011000:58,(11_1112011021:18,12_1112011021:18):40):142);","((((1_2100101000:0.2900967091,(2_2100101000:0.2900967091,4_2100101000:0.2900967091):0):0.1948942378,3_1101001100:0.4849909469):0.1158624058,10_0102011000:0.6008533527):0.226730265,(11_1112011021:0.2958418027,12_1112011021:0.2958418027):0.531741815);"
33,s16_c4_data,22,9,"((1_2100101000:122,((3_2120101100:13,4_2120101100:13):50,(5_2120101120:12,6_2120101121:12):51):58):51,((7_0001200200:21,8_0001200200:21):44,(9_0011200200:20,10_0011200200:20):45):107);","((1_2100101000:0.6196230404,((3_2120101100:0.2925062876,4_2120101100:0.2925062876):0.1514224807,(5_2120101120:0.3466455347,6_2120101121:0.3466455347):0.09728323361):0.175694272):0.1947391046,((7_0001200200:0.2850241619,8_0001200200:0.2850241619):0.03531502575,(9_0011200200:0.2857690833,10_0011200200:0.2857690833):0.03457010441):0.4940229572);"
34,s16_c5_data,23,10,"(((1_0220002121:13,2_0220002121:13):54,(3_0220002121:2,4_0220002121:2):65):108,((5_2100101000:60,6_2100101000:60):62,((7_0102211221:3,8_0102211220:3):46,(9_0122211121:4,10_0122211121:4):45):72):54);","(((4_0220002121:60,(3_0220002121:40,(1_0220002121:20,2_0220002121:20)2:20)2:20)1:20,((9_0122211121:26.66666667,10_0122211121:26.66666667)1:26.66666667,(7_0102211221:26.66666667,8_0102211220:26.66666667)2:26.66666667)2:26.66666667)1:20,(5_2100101000:50,6_2100101000:50)2:50)Root;"
36,s16_c7_data,24,9,"((((1_2101101201:42,2_0121201121:42):64,(3_2102111000:43,4_2102101000:43):63):64,((5_2100111000:48,6_0100001000:48):54,(7_2100101001:41,8_2100101001:41):61):68):42,9_0200000021:212);","((1_2101101201:0.6714346823,(((3_2102111000:0.3456372601,4_2102101000:0.3456372601):0.189575495,(5_2100111000:0.4127987318,(7_2100101001:0.2914967467,8_2100101001:0.2914967467):0.1213019851):0.1224140233):0.06564059765,6_0100001000:0.6008533527):0.07058132958):0.2042951128,(2_0121201121:0.6506261139,9_0200000021:0.6506261139):0.2251036812);"
37,s16_c8_data,25,11,"((((1_2102111221:16,2_2102111211:16):46,(3_2102111011:19,4_2102111011:19):43):56,((5_1110001221:10,6_1110001221:10):47,(7_1111201221:1,8_1111201221:1):56):61):56,(9_1122011111:61,(10_1122011111:15,11_1122011111:15):45):114);","(((11_1122011111:50,(9_1122011111:25,10_1122011111:25)2:25)1:25,((3_2102111011:25,4_2102111011:25)1:25,(1_2102111221:25,2_2102111211:25)2:25)2:25)1:25,((5_1110001221:33.33333333,6_1110001221:33.33333333)1:33.33333333,(7_1111201221:33.33333333,8_1111201221:33.33333333)2:33.33333333)2:33.33333333)Root;"
39,s17_c1_data,26,20,"((((1_2101001000:34,2_1111001000:34):90,((3_2102101000:26,4_2111101021:26):53,(5_1112011020:32,6_2102111221:32):47):45):42,(((7_1102211001:22,8_1112211200:22):54,9_0102211000:76):43,((10_1101001201:16,11_1111001201:16):59,(12_2100101020:26,13_2011102221:26):49):44):47):45,((14_1100001000:100,(15_1112011021:48,16_0102011021:48):52):67,((17_2102111000:43,18_1111001010:43):67,(19_1110201021:46,20_1102011221:46):64):57):45);","((((5_1112011020:27.77777778,15_1112011021:27.77777778)1:27.77777778,(16_0102011021:27.77777778,20_1102011221:27.77777778)2:27.77777778)1:27.77777778,(((3_2102101000:25,17_2102111000:25)1:25,(8_1112211200:33.33333333,(7_1102211001:16.66666667,9_0102211000:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((10_1101001201:25,11_1111001201:25)1:25,((2_1111001000:16.66666667,18_1111001010:16.66666667)1:16.66666667,(1_2101001000:16.66666667,14_1100001000:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)2:16.66666667)1:16.66666667,((19_1110201021:50,(4_2111101021:25,12_2100101020:25)2:25)1:25,(6_2102111221:37.5,13_2011102221:37.5)2:37.5)2:25)Root;"
40,s18_c1_data,27,15,"((((1_0111001211:21,2_0111001211:21):59,(3_0112011000:6,4_2102011000:6):74):58,((5_1111001201:16,6_1111001201:16):63,(7_1111001201:15,8_1111001201:15):64):59):50,(((9_1110201001:25,10_1111201001:25):54,(11_0112211001:30,12_0101201001:30):49):51,(14_1110001211:82,(15_0111001211:34,16_2100101000:34):48):48):58);","(((8_1111001201:60,(7_1111001201:40,(5_1111001201:20,6_1111001201:20)2:20)2:20)1:20,(14_1110001211:60,(15_0111001211:40,(1_0111001211:20,2_0111001211:20)2:20)2:20)2:20)1:20,(((9_1110201001:25,10_1111201001:25)1:25,(12_0101201001:25,11_0112211001:25)2:25)1:25,(16_2100101000:50,(3_0112011000:25,4_2102011000:25)2:25)2:25)2:25)Root;"
42,s19_c1_data,28,12,"((((1_0100000022:43,2_0000000022:43):50,(3_0000001022:42,4_0000000022:42):51):43,((5_0100000222:32,6_0000000222:32):57,(7_0000000222:33,8_0000000222:33):56):47):46,((9_1101001011:12,10_1111001011:12):42,(11_1111101011:9,12_1111001011:9):45):128);","(((5_0100000222:60,(8_0000000222:40,(6_0000000222:20,7_0000000222:20)2:20)2:20)1:20,(1_0100000022:60,(3_0000001022:40,(2_0000000022:20,4_0000000022:20)2:20)2:20)2:20)1:20,(11_1111101011:75,(9_1101001011:50,(10_1111001011:25,12_1111001011:25)2:25)2:25)2:25)Root;"
43,s19_c2_data,29,15,"(2_2120101101:202,((((4_2020102101:19,5_2020102101:19):40,(6_2120102101:21,7_2020102101:21):38):42,((8_2020102101:17,9_2020102101:17):37,(10_2020102101:9,11_2020102101:9):45):47):44,((13_2120101100:11,14_2100101000:11):86,((15_0100201001:8,16_0100201001:8):45,(17_0100201001:13,18_0100201001:13):40):44):48):56);","(((2_2120101101:42.85714286,13_2120101100:42.85714286)1:42.85714286,(6_2120102101:71.42857143,(11_2020102101:57.14285714,((7_2020102101:28.57142857,(4_2020102101:14.28571429,5_2020102101:14.28571429)2:14.28571429)1:14.28571429,(10_2020102101:28.57142857,(8_2020102101:14.28571429,9_2020102101:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(14_2100101000:80,(18_0100201001:60,(17_0100201001:40,(15_0100201001:20,16_0100201001:20)2:20)2:20)2:20)2:20)Root;"
45,s19_c4_data,30,14,"((((1_2111101000:36,2_2100101000:36):47,(3_1111101001:24,4_2102011000:24):59):49,((5_2100101000:25,6_2100101000:25):48,(7_2100101000:23,8_1101101001:23):50):59):47,((9_1101001000:25,10_1111101001:25):105,((13_2111101000:39,14_2100101000:39):42,(15_1111001001:35,16_1111001011:35):46):49):49);","((((15_1111001001:32.14285714,16_1111001011:32.14285714)1:32.14285714,(8_1101101001:42.85714286,(3_1111101001:21.42857143,10_1111101001:21.42857143)2:21.42857143)2:21.42857143)1:21.42857143,((14_2100101000:57.14285714,(7_2100101000:42.85714286,(6_2100101000:28.57142857,(2_2100101000:14.28571429,5_2100101000:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(1_2111101000:35.71428571,13_2111101000:35.71428571)2:35.71428571)2:14.28571429)1:14.28571429,(4_2102011000:50,9_1101001000:50)2:50)Root;"
46,s2_c1_data,31,34,"((((((1_1111011221:16,3_1111011201:16):46,6_1111011221:62):47,((7_1110111221:13,8_1110111221:13):45,(9_1110111121:11,10_1110111121:11):47):51):51,(11_1112111111:99,(12_1111111211:54,(13_1111111211:10,14_1111111211:10):44):45):61):39,(((15_1111111111:12,16_1111111111:12):85,(18_1112111121:7,19_1112111121:7):90):56,(((20_0111211001:7,21_0111211001:7):37,(22_1111111101:4,26_1110111021:4):40):49,((27_1110212021:8,29_1110212021:8):42,(30_2222210021:4,31_2222110000:4):46):43):60):46):11,(((32_1112111021:40,35_1102111200:39):49,(36_1100000000:2,39_1100100000:2):86):55,(((40_1110111221:2,41_1110111221:2):40,42_1110111221:43):48,((43_1110111221:3,44_1110111221:3):43,(45_1110111221:1,46_1100111221:1):45):44):53):67);","((((26_1110111021:51.42857143,(9_1110111121:25.71428571,10_1110111121:25.71428571)2:25.71428571)1:25.71428571,(46_1100111221:64.28571429,((43_1110111221:34.28571429,(41_1110111221:17.14285714,42_1110111221:17.14285714)2:17.14285714)1:17.14285714,((40_1110111221:25.71428571,(7_1110111221:12.85714286,8_1110111221:12.85714286)2:12.85714286)1:12.85714286,(44_1110111221:19.28571429,45_1110111221:19.28571429)2:19.28571429)2:12.85714286)2:12.85714286)2:12.85714286)1:12.85714286,(((27_1110212021:26.66666667,29_1110212021:26.66666667)1:26.66666667,(20_0111211001:26.66666667,21_0111211001:26.66666667)2:26.66666667)1:26.66666667,((32_1112111021:46.66666667,(18_1112111121:23.33333333,19_1112111121:23.33333333)2:23.33333333)1:23.33333333,((3_1111011201:40,(1_1111011221:20,6_1111011221:20)2:20)1:20,(35_1102111200:50,((14_1111111211:26.66666667,(12_1111111211:13.33333333,13_1111111211:13.33333333)2:13.33333333)1:13.33333333,(22_1111111101:30,(11_1112111111:20,(15_1111111111:10,16_1111111111:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)2:10)1:10,((36_1100000000:33.33333333,39_1100100000:33.33333333)1:33.33333333,(30_2222210021:33.33333333,31_2222110000:33.33333333)2:33.33333333)2:33.33333333)Root;"
50,s2_c5_data,32,9,"((((1_2111211221:13,2_2111211221:13):46,4_1112001001:59):80,(5_0112011221:69,7_2112112221:68):71):52,((10_2111012221:34,11_2111011221:34):54,(12_2111212221:32,13_2211212221:32):56):103);","(((((1_2111211221:0.2951730353,2_2111211221:0.2951730353):0.1287465073,(12_2111212221:0.3562930647,13_2211212221:0.3562930647):0.06762647787):0.1124946174,(7_2112112221:0.501539262,(10_2111012221:0.3672390034,11_2111011221:0.3672390034):0.1343002586):0.03487489795):0.1506826501,5_0112011221:0.6870968101):0.203548211,4_1112001001:0.8906450211);"
51,s2_c6_data,33,26,"((4_1111211221:198,(((6_0112110211:5,7_0112110211:5):43,(8_0110111211:6,9_0110111211:6):42):47,(10_0111011221:45,11_0110011221:45):51):102):13,(((((17_0000111111:31,18_0000111111:31):44,(19_0000111111:31,20_0000111111:31):44):35,(21_0000111111:62,(22_0000111121:14,23_0000111121:14):48):48):38,((24_0000211121:13,25_0000211121:13):41,(26_0000111121:17,27_0100111121:17):37):94):38,((28_2111211111:26,29_1111211101:27):118,((30_1112211200:45,31_1112211221:45):54,((32_0112111221:6,33_0112110221:6):41,(34_2112111221:7,35_2112111201:7):40):51):46):42):24);","(((34_2112111221:40,35_2112111201:40)1:40,((28_2111211111:30,29_1111211101:30)1:30,(30_1112211200:40,(4_1111211221:20,31_1112211221:20)2:20)2:20)2:20)1:20,(((21_0000111111:57.14285714,(20_0000111111:42.85714286,(19_0000111111:28.57142857,(17_0000111111:14.28571429,18_0000111111:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((24_0000211121:28.57142857,25_0000211121:28.57142857)1:28.57142857,(27_0100111121:42.85714286,(26_0000111121:28.57142857,(22_0000111121:14.28571429,23_0000111121:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,((32_0112111221:51.42857143,(33_0112110221:34.28571429,(6_0112110211:17.14285714,7_0112110211:17.14285714)2:17.14285714)2:17.14285714)1:17.14285714,((8_0110111211:22.85714286,9_0110111211:22.85714286)1:22.85714286,(10_0111011221:22.85714286,11_0110011221:22.85714286)2:22.85714286)2:22.85714286)2:17.14285714)2:14.28571429)Root;"
52,s2_c8_data,34,11,"(((1_2111111101:50,(2_1112211101:3,3_0111211101:3):46):55,((4_0111211221:1,5_0111211221:1):55,(6_0000100021:10,7_0000100021:10):46):48):46,((12_2022111221:10,13_2002111221:10):54,(14_0110111221:8,15_0120111221:8):56):86);","((1_2111111101:66.66666667,(2_1112211101:33.33333333,3_0111211101:33.33333333)2:33.33333333)1:33.33333333,(((4_0111211221:25,5_0111211221:25)1:25,(14_0110111221:25,15_0120111221:25)2:25)1:25,((6_0000100021:25,7_0000100021:25)1:25,(12_2022111221:25,13_2002111221:25)2:25)2:25)2:25)Root;"
53,s2_c9_data,35,13,"(((8_0112210201:50,(9_0112211201:13,10_0112211201:13):37):39,((11_0102211221:6,12_0112211201:6):44,13_0112211201:50):39):40,((15_1000111221:49,(17_1000111221:10,18_1000111221:10):39):39,((19_1112111221:12,20_1112111221:12):37,(21_1112111221:14,22_1112111221:14):35):39):41);","(((22_1112111221:64.28571429,(21_1112111221:42.85714286,(19_1112111221:21.42857143,20_1112111221:21.42857143)2:21.42857143)2:21.42857143)1:21.42857143,(11_0102211221:71.42857143,(8_0112210201:57.14285714,(13_0112211201:42.85714286,(12_0112211201:28.57142857,(9_0112211201:14.28571429,10_0112211201:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)2:14.28571429)1:14.28571429,(18_1000111221:66.66666667,(15_1000111221:33.33333333,17_1000111221:33.33333333)2:33.33333333)2:33.33333333)Root;"
